코드,도서명,작가,출판사,출간연도,구입가격,대여가격
BK0174,(일상의 비밀을 푸는)슬기로운 수학 생활,스기하라 고키치 지음 ; 김소영 옮김,타임북스,2006 ,21600,1000
BK0175,너무 재밌어서 잠 못 드는 지구의 과학,신규진 지음,생각의길,2003 ,33000,1000
BK0176,(참쌤의)비주얼씽킹 끝판왕,김차명 지음,에듀니티,2019 ,20200,2000
BK0177,인테리어 재테크,이지현 지음,Raon Book,2004 ,12000,1000
BK0178,"(Real)이미지 캐스팅 : Not success, but mind",최인희...[등] 지음,양성원,2019 ,24700,2000
BK0179,이것이 블록체인 경제다,한경business 특별취재팀 지음,한국경제매거진,2011 ,20200,1000
BK0180,은퇴 5년 전에 꼭 해야 할 것들,전기보 지음,미래지식,2010 ,26000,1000
BK0181,월세 부자의 비밀노트,임정택 지음,책비,2002 ,13500,1000
BK0182,월급쟁이 쳇바퀴 탈출 재테크,홍현일 지음,피톤치드,2019 ,22200,2000
BK0183,"월 1,000 버는 꼬마빌딩 잘 사서 잘 짓는 법",김인만 ; 이은홍 [공]지음,원앤원북스,2016 ,32800,2000
BK0184,원셈의 절묘하게 세금을 줄이는 책,원종훈 지음,BM황금부엉이,2016 ,34500,2000
BK0185,오피스리스 워커,박용후 지음,라이팅하우스,2017 ,31300,2000
BK0186,영화 만들기로 창의융합 수업하기,박현숙 ; 고들풀 [공]지음,맘에드림,2005 ,26300,1000
BK0187,영업은 처음입니다,이혜경 지음,이담Books,2007 ,31300,1000
BK0188,영어 수업 놀이 111,한지혜 지음,미래와 경영,2007 ,14900,1000
BK0189,열등감 버리기 기술,마스노 슌묘 지음 ; 강정원 옮김,슬로디미디어,2016 ,29600,2000
BK0190,여의도 맞벌이 부부가 잘사는 법,여의도 조이부부 지음,bookLab,2016 ,28500,2000
BK0191,엄마의 재취업,김상호 지음,작은서재,2012 ,28000,1000
BK0192,(내 아이를 성장시키는)엄마 자존감의 힘,임인경 지음,프로방스,2014 ,24900,1000
BK0193,어쩌다 혁신학교,고은영...[등] 지음,살림터,2016 ,34900,2000
BK0194,알면 돈 되는 알트코인 30선,머니넷 지음,Weekly Biz Books,2000 ,13700,1000
BK0195,아파트 살 때와 팔 때,김동희 지음,채움과사람들,2001 ,19200,1000
BK0196,(아파트 살 돈으로)건물주 되기,구선영 지음,위즈덤하우스,2001 ,33600,1000
BK0197,新 징비록,조희완 지음,구암,2019 ,20000,2000
BK0198,숫자 1도 모르는 당신이 마케팅 천재가 되는 법,다나카 야스히로 지음 ; 우윤식 옮김,홍익,2019 ,31800,2000
BK0199,(수업달인들이 사용하는)수업몰입활동 121,제리 에반스키 지음 ; 교육을바꾸는사람들 옮김,한국뇌기반교육연구소,2000 ,32300,1000
BK0200,(소액투자자를 위한)발로 찾는 부동산투자법,박산 지음,SB,2017 ,31600,2000
BK0201,섹시한 상품의 법칙,전태성 지음,제8요일,2011 ,24300,1000
BK0202,세상을 움직이는 리더의 비밀,최은수...[등] 지음,미래와경영,2002 ,32300,1000
BK0203,성공하는 교사들의 9가지 습관,Jacquie Turnbull 저 ; 정종진 ; 주현준 ; 정성수 공역,학지사,2019 ,12600,2000
BK0204,비트코인의 미래,사도시 지음,에이지21,2019 ,16800,2000
BK0205,부자가 되고 싶다면 집 대신 땅을 사라,김길우 지음,나비의활주로,2012 ,34400,1000
BK0206,부동산의 재발견,임채우 지음,스몰빅라이프,2006 ,34900,1000
BK0207,"부동산 투자, 흐름이 정답이다",김수현 지음,한국경제신문i,2014 ,22100,1000
BK0208,부동산 임대사업자가 꼭 알아야 할 47가지,송상열 지음,메이트북스,2002 ,12500,1000
BK0209,부동산 모르면 부자 될 수 없다,최진성 지음,다다리더스,2018 ,20000,2000
BK0210,부동산 경매와 절세 전략,이동현 지음,다차원북스,2000 ,29900,1000
BK0211,"보드게임, 교육과 만나다",박점희 ; 은효경 [공]지음,애플북스,2001 ,17900,1000
BK0212,(가정의 행복을 위한)법원경매 재테크의 맥,한종덕 지음,좋은땅,2009 ,29200,1000
BK0213,법문서 작성 입문,도재형 지음,이화여자대학교출판문화원,2019 ,31700,2000
BK0214,미라클!,조 비테일 지음 ; 편기욱 옮김,우현북스,2017 ,12500,2000
BK0215,마켓리더의 조건,제러드 J. 텔리스 ; 피터 N. 골더 [공]지음 ; 최종옥 옮김,시아,2009 ,30900,1000
BK0216,마케팅 이렇게 쉬웠어?,팀매출상승연구회 지음 ; 장인주 옮김,경향미디어,2000 ,15200,1000
BK0217,리더의 명화수업,이주헌 지음,아트북스,2012 ,30500,1000
BK0218,(알면 부자되는)땅값의 비밀,이인수 지음,린,2007 ,18500,1000
BK0219,(먹고사는 데 필요한)딱 이만큼의 경제학,강준형 지음,다온북스,2006 ,15000,1000
BK0220,인스타그램 마케팅,양성길 ; 최재용 [공]지음,원앤원북스,2012 ,15700,1000
BK0221,디자인씽킹으로 일 잘하는 방법,봉현철 ; 김형숙 ; 김경수 [공]지음,초록비책공방,2019 ,15200,2000
BK0222,대한민국의 안타까운 현실,이명호 지음,렛츠book,2014 ,16100,1000
BK0223,"당신, 참 괜찮은 사람이다",육문희 지음,벗나래,2005 ,15300,1000
BK0224,단숨에 상대를 사로잡는 대화의 기술,안치 지음 ; 강란 옮김,넥스웍,2015 ,27900,2000
BK0225,능력 있는 사람은 질문법이 다르다,히오다 마사토 ; 마쓰다 미히로 [공]지음 ; 박종성 옮김,쌤앤파커스,2008 ,15100,1000
BK0226,노후를 책임지는 부동산 투자법,이상준 지음,머니플러스,2006 ,14600,1000
BK0227,네이버 마케팅 트렌드 2018,오종현 지음,e비즈북스,2004 ,25000,1000
BK0228,상처받지 않고 끝까지 사랑하기,유은정 지음,규장,2013 ,25500,1000
BK0229,니 혼자 부처되면 뭐하노,월암 지음,담앤북스,2018 ,33400,2000
BK0230,"궁금해요, 불교",도업 지음,운주사,2005 ,26900,1000
BK0231,화필잡담,전창운 지음,별,2013 ,17300,1000
BK0232,(만화로 배우자!)최강의 명상법,와타나베 아이코 저 ; 아메카와 미우 만화 ; 아오키 다케오 시나리오 ; 황혜숙 번역,불광,2019 ,32200,2000
BK0233,천재의 발상지를 찾아서,에릭 와이너 지음 ; 노승영 옮김,문학동네,2011 ,19900,1000
BK0234,원트 = Want,고코로야 진노스케 지음 ; 최지현 옮김,혜윰,2009 ,15400,1000
BK0235,워라밸 플랜,석혜림 지음,Raonbook,2001 ,15700,1000
BK0236,예측 불가능한 시대에 행복하게 사는 법,윤성식 지음,수오서재,2009 ,25600,1000
BK0237,엄마와 딸 사이,곽소현 지음,소울메이트,2011 ,12600,1000
BK0238,야윈 돼지의 비밀,트레이시 만 지음 ; 이상헌 옮김,일리,2004 ,23200,1000
BK0239,불편한 사람과 편하게 대화하는 법,고니시 미호 지음 ; 김윤경 옮김,비즈니스북스,2019 ,33800,2000
BK0240,거실의 사자,애비게일 터커 지음 ; 이다희 옮김,마티,2005 ,19600,1000
BK0241,완벽하게 사랑하는 너에게 : 뻔하지만 이 말밖엔,심재원(그림에다) 지음,위즈덤하우스,2005 ,22900,1000
BK0242,아무도 문밖에서 기다리지 않았다,매슈 설리번 지음 ; 유소영 옮김,나무옆의자,2000 ,33300,1000
BK0243,머리검은토끼와 그 밖의 이야기들,최민우 지음,자음과모음,2013 ,13100,1000
BK0244,당신과 함께라면 말이야,오상진 지음,달,2009 ,25500,1000
BK0245,내가 나를 위로할 때,김나위 지음,다연,2014 ,25500,1000
BK0246,내 맘 어딘가의 그대에게,최재선 지음,인간과문학사,2010 ,22900,1000
BK0247,나이트 매니저. 1,존 르 카레 지음 ; 유소영 옮김,RHK,2017 ,32700,2000
BK0248,나는 직원 없이도 10억 번다,일레인 포펠트 지음 ; 신솔잎 옮김,비즈니스북스,2018 ,29000,2000
BK0249,나는 그냥 버스기사입니다,허혁 지음,수오서재,2017 ,28600,2000
BK0250,나는 그냥 버스기사입니다,허혁 지음,수오서재,2003 ,17600,1000
BK0251,"나는 간호사, 사람입니다",김현아 지음,쌤앤파커스,2002 ,20900,1000
BK0252,꽃동냥치,박상률 지음,지식을만드는지식,2019 ,12800,2000
BK0253,깡통 나무,앤 타일러 지음 ; 공경희 옮김,멜론,2008 ,13800,1000
BK0254,경애의 마음,김금희 지음,창비,2018 ,31400,2000
BK0255,300단어 영어회화의 기적 : 말문 늘리기편,정회일 지음,다산북스,2000 ,19100,1000
BK0256,충전수업 : 쩐의 흐름 편,양보석 지음,아라크네,2001 ,20800,1000
BK0257,최고의 팀은 무엇이 다른가,대니얼 코일 지음 ; 박지훈 옮김,웅진지식하우스,2009 ,21200,1000
BK0258,처음 만나는 페미니즘,제시카 발렌티 [지음] ; 노지양 옮김,교양인,2018 ,12200,2000
BK0259,(내 인생을 바꾼)부동산 공부,이나금 지음,위닝북스,2009 ,22800,1000
BK0260,나는 집도 없이 에어비앤비로 월세 받는다,캐스퍼 지음,아라크네,2017 ,14800,2000
BK0261,나는 집 없이도 월세 받는다,함께하는삶 지음,예문,2016 ,26800,2000
BK0262,나는 직원 없이도 10억 번다,일레인 포펠트 지음 ; 신솔잎 옮김,비즈니스북스,2003 ,21400,1000
BK0263,나는 슈퍼자기경영으로 인생을 송두리째 바꿨다,김재광 지음,청어,2016 ,16100,2000
BK0264,나는 부동산 투자로 인생을 아웃소싱했다,이나금 지음,나비의활주로,2016 ,23200,2000
BK0265,꿈을 잃어버린 당신에게,잭 캔필드 ; 마크 빅터 한센 [공]지음 ; 김재홍 옮김,슬로디미디어,2003 ,28700,1000
BK0266,기획에서 기획을 덜어내라,제갈현열 ; 김도윤 [공]지음,천그루숲,2016 ,18200,2000
BK0267,금융지식이 힘이다,박인섭 ; 이연학 [공]지음,봄봄스토리,2001 ,21900,1000
BK0268,그린벨트 투자의 비밀,전종철 ; 우광연 [공]지음,라의눈,2002 ,26000,1000
BK0269,고수의 질문법,한근태 지음,미래의창,2004 ,14800,1000
BK0270,가상통화의 시대,이원재 지음,푸른사상,2005 ,21000,1000
BK0271,4차 산업혁명 Why? : Industry 4.0,유은숙...[등] 지음,한국경제신문i,2014 ,21500,1000
BK0272,365 월세 통장,윤수현 지음,다산북스,2004 ,21100,1000
BK0273,35세 인서울 청약의 법칙,월용이(박지민) 지음,매일경제신문사,2006 ,14800,1000
BK0274,멋진 어른 여자,박미이 지음,Raon Book,2007 ,34300,1000
BK0275,마음챙김이란 무엇인가,오쇼 강의 ; 서미영 옮김,젠토피아,2002 ,21500,1000
BK0276,(때려치기 전에)직장인 분노조절기술,요코야마 노부하루 지음 ; 최민아 옮김,Ritec Contents,2005 ,13800,1000
BK0277,뒤통수의 심리학,마리아 코니코바 지음 ; 이수경 옮김,프런티어,2000 ,23300,1000
BK0278,도시의 36가지 표정,양쯔바오 지음 ; 이영주 옮김,snowfox,2010 ,13100,1000
BK0279,나를 비참하게 만들지 않는 기술,라파엘 산탄드루 지음 ; 홍선영 옮김,생각의날개,2017 ,31000,2000
BK0280,열두 발자국,정재승 지음,어크로스,2001 ,27800,1000
BK0281,파리 갈까?,장용준 지음,서유재,2004 ,20600,1000
BK0282,(한눈에 꿰뚫는)세계사 명장면,역사미스터리클럽 지음 ; 안혜은 옮김 ; 김태욱 지도,이다미디어,2013 ,12200,1000
BK0283,교토에 디저트 먹으러 갑니다,강수진 ; 황지선 [공]지음,홍익,2000 ,22900,1000
BK0284,(세상에서 제일 빠른)3분 삼국지 톡,심쌤 지음,한빛비즈,2005 ,28700,1000
BK0285,헬로 바바리맨,유영민 지음,자음과모음,2010 ,26400,1000
BK0286,하고 싶은 대로 살아도 괜찮아,윤정은 지음 ; 마설 그림,애플북스,2003 ,16600,1000
BK0287,미남당 사건수첩,정재한 지음,CABINET,2002 ,26000,1000
BK0288,당신의 꿈은 무엇입니까,김수영 지음,꿈꾸는지구,2014 ,24600,1000
BK0289,기분을 만지다,김은주 지음 ; 에밀리 블링코 사진,엔트리,2012 ,13600,1000
BK0290,경애의 마음,김금희 지음,창비,2003 ,35000,1000
BK0291,하루 1분 인생영어,YM기획 엮음,베프북스,2009 ,32600,1000
BK0292,중국어회화 100일의 기적,손승욱 지음,넥서스,2009 ,32400,1000
BK0293,일본어회화 순간패턴 200,조승연 저,동양북스,2011 ,24400,1000
BK0294,(오석태와 함께하는)진짜 여행영어,오석태 지음,any class,2016 ,20500,2000
BK0295,"영포자, 1년 만에 이룬 기적의 영어 공부법",가인숙 지음,지식과감성#,2005 ,23300,1000
BK0296,(김영철·타일러의)진짜 미국식 영어. 2,김영철 ; 타일러 [공]지음,위즈덤하우스,2015 ,22800,2000
BK0297,어쨌든 미술은 재밌다,박혜성 지음,글담,2015 ,12300,2000
BK0298,내 인생의 첫 골프 수업,김형국 지음,골프아카데미,2010 ,19200,1000
BK0299,부동산 절세백서,신방수 지음,Winner's book,2015 ,29400,2000
BK0300,매력은 습관이다,이케하라 마사코 지음 ; 이주희 옮김,동양북스,2000 ,19100,1000
BK0301,똑똑한 부동산 인테리어,김종민(독일병정) 지음,스마트북스,2007 ,29700,1000
BK0302,나는 지금 점프한다,마이크 루이스 지음 ; 김보미 ; 송민교 [공]옮김,움직이는서재,2019 ,23900,2000
BK0303,(그들이 알려주지 않는) 투자의 법칙,영주 닐슨 지음,위즈덤하우스,2006 ,28300,1000
BK0304,(사고 싶게 만드는)감성 마케팅,신은희 지음,더문,2002 ,26900,1000
BK0305,4차 산업혁명 상식사전,공병훈 지음,길벗,2007 ,18000,1000
BK0306,21일 마케팅,조명광 지음,와이비,2000 ,28800,1000
BK0307,2020 부동산 메가트렌드,HMS부동산랩 지음,와이즈맵,2006 ,31800,1000
BK0308,"그 생각, 놓아도 괜찮습니다",원허 글,담앤북스,2002 ,28500,1000
BK0309,철학자의 공부법,미키 기요시 지음 ; 이윤경 옮김,B612북스,2015 ,27900,2000
BK0310,어떻게 사고할 것인가,기타무라 료코 지음 ; 김정환 옮김,까치글방,2019 ,32200,2000
BK0311,수련,배철현 지음,21세기북스,2006 ,33900,1000
BK0312,삶의 끝에서 나눈 대화,이리스 라디쉬 지음 ; 염정용 옮김,에스,2013 ,29200,1000
BK0313,불안하지 않게 사는 법,페이융 지음 ; 허유영 옮김,유노북스,2013 ,32700,1000
BK0314,무뚝뚝해도 괜찮습니다,이케다 준 지음 ; 오성원 옮김,Denstory,2017 ,18400,2000
BK0315,돈이 필요 없는 나라,나가시마 류진 지음 ; 최성현 옮김,샨티,2016 ,28100,2000
BK0316,나를 쉬게 하는 연습,황미구 지음,Angle Books,2013 ,17500,1000
BK0317,나를 더 나답게,원빈 지음,휴,2003 ,19200,1000
BK0318,"나, 지금 이대로 괜찮은 사람",박진영 지음,호우,2018 ,22300,2000
BK0319,굿 라이프 철학 수업,카타리나 케밍 ; 크리스타 슈판바우어 [공]지음 ; 장혜경 옮김,터치아트,2008 ,34300,1000
BK0320,청순한 일러스트,문채빈 저,Digital Books,2004 ,24600,1000
BK0321,(된다!)김메주의 유튜브 영상 만들기,김혜주 지음,이지스퍼블리싱,2016 ,25800,2000
BK0322,(One shot)엑셀 2013,DIM 연구소 저,앤아이컴즈,2006 ,21700,1000
BK0323,퇴사하고 여행갑니다,김대근 ; 김태현 [공]지음,한빛라이프,2001 ,19800,1000
BK0324,청춘여행 버킷리스트 : 대한민국을 누비다,이민학 ; 신유진 [공]지음,플래닝북스,2017 ,34900,2000
BK0325,세상에서 가장 짧은 세계사,존 허스트 지음 ; 김종원 옮김,위즈덤하우스,2003 ,32100,1000
BK0326,블라디보스토크 : 하바롭스크·이르쿠츠크,정승원 지음,상상,2011 ,25800,1000
BK0327,민달이의 아프리카 여행,"장민욱 글,사진",마음세상,2011 ,28700,1000
BK0328,멕시코에서 쿠바까지 중미여행 42일,김형만 지음,밥북,2003 ,31600,1000
BK0329,도쿄 도쿄 도쿄,아사히신문출판 [편] ; 피엘씨웍스 옮김,그리고책,2000 ,12300,1000
BK0330,나홀로 푸드 트립,김나성 ; 유지연 ; 권원정 [공]지음,길벗,2012 ,19900,1000
BK0331,(가족여행하며)홈스쿨링,수 코울리 지음 ; 김은경 옮김,새로운 제안,2006 ,32400,1000
BK0332,"Enjoy 다낭, 호이안, 후에",마연희 지음,넥서스Books,2013 ,23500,1000
BK0333,1987 이한열,김정희 글,사회평론,2019 ,13300,2000
BK0334,희귀본 살인사건,페이지 셸턴 지음 ; 이수영 옮김,나무옆의자,2016 ,16900,2000
BK0335,행콕팍보호소 살인 사건,이준혁 지음,이상북스,2014 ,25900,1000
BK0336,황순원문학상 수상작품집 : 제17회. 2017,이기호...[등] 지음,다산책방,2014 ,27600,1000
BK0337,하루를 살아도 후회 없이 살고 싶다,정태섭 지음 ; 오상준 엮음,걷는나무,2019 ,14800,2000
BK0338,포르투갈의 높은 산,얀 마텔 지음 ; 공경희 옮김,작가정신,2006 ,13300,1000
BK0339,파리의 아파트,기욤 뮈소 지음 ; 양영란 옮김,밝은세상,2014 ,30700,1000
BK0340,티어링의 여왕,에리카 조핸슨 지음 ; 김지원 옮김,은행나무,2012 ,23800,1000
BK0341,타샤의 말,타샤 튜더 지음 ; 공경희 옮김,윌북,2015 ,22500,2000
BK0342,츠바키 문구점,오가와 이토 지음 ; 권남희 옮김,예담,2012 ,32400,1000
BK0343,처음부터 엄마는 아니었어,장수연 지음,어크로스,2013 ,26300,1000
BK0344,찌질한 인간 김경희,김경희 지음,빌리버튼,2017 ,31300,2000
BK0345,조선통신사. 2,김종광 지음,다산책방,2011 ,12400,1000
BK0346,조선통신사. 1,김종광 지음,다산책방,2008 ,14000,1000
BK0347,이선동 클린센터,권정희 지음,고즈넉이엔티,2013 ,28300,1000
BK0348,"이마를 비추는, 발목을 물들이는",전경린 지음,문학동네,2009 ,33200,1000
BK0349,이렇게 책으로 살고 있습니다,이나이즈미 렌 지음 ; 최미혜 옮김,애플북스,2017 ,27800,2000
BK0350,웰컴 나래바!,박나래 지음,싱긋,2005 ,18900,1000
BK0351,원더,R. J. 팔라시오 지음 ; 천미나 옮김,책콩,2015 ,20100,2000
BK0352,우리는 언젠가 만난다,채사장 지음,whale books,2018 ,26200,2000
BK0353,오리진. 2,댄 브라운 지음 ; 안종설 옮김,문학수첩,2015 ,12200,2000
BK0354,오리진. 1,댄 브라운 지음 ; 안종설 옮김,문학수첩,2014 ,24500,1000
BK0355,연애의 행방,히가시노 게이고 지음 ; 양윤옥 옮김,소미미디어,2006 ,28800,1000
BK0356,어떻게든 살고는 있습니다만,신인지 쓰고 ; 신인선 그림,시드앤피드,2015 ,17800,2000
BK0357,"안녕, 내 뻐끔거리는 단어들",샤론 M. 드레이퍼 지음 ; 최제니 옮김,뜨인돌,2019 ,32800,2000
BK0358,아메리칸 급행열차,제임스 설터 지음 ; 서창렬 옮김,마음산책,2008 ,13500,1000
BK0359,생각정리스피치,복주환 지음,천그루숲,2006 ,17100,1000
BK0360,생각 줍기,김영훈 글·그림,교양인,2000 ,15600,1000
BK0361,새벽까지 희미하게,정미경 지음,창비,2014 ,23100,1000
BK0362,사소한 칼. [2],앤 레키 지음 ; 신해경 옮김,아작,2017 ,26400,2000
BK0363,사랑까지 딱 한 걸음,심승현 글·그림,예담,2011 ,12300,1000
BK0364,빛나 : 서울 하늘 아래,J. M. G. 르 클레지오 지음 ; 송기정 옮김,서울셀렉션,2012 ,33900,1000
BK0365,비하인드 도어,B.A. 패리스 지음 ; 이수영 옮김,arte,2018 ,28200,2000
BK0366,백설 공주 살인 사건,미나토 가나에 지음 ; 김난주 옮김,재인,2015 ,31900,2000
BK0367,바나나 그 다음,박성호 지음,북하우스,2016 ,12700,2000
BK0368,"미중전쟁. 2, 백악관 워룸",김진명 지음,쌤앤파커스,2000 ,26900,1000
BK0369,"미중전쟁. 1, 풍계리 수소폭탄",김진명 지음,쌤앤파커스,2012 ,14200,1000
BK0370,문장의 온도,이덕무 지음 ; 한정주 엮고 옮김,다산초당,2019 ,23900,2000
BK0371,무라카미 하루키를 음악으로 읽다,구리하라 유이치로...[등] 지음 ; 김해용 옮김,영인미디어,2005 ,27600,1000
BK0372,모모요는 아직 아흔 살,무레 요코 지음 ; 권남희 옮김,이봄,2004 ,20000,1000
BK0373,딸에 대하여,김혜진 지음,민음사,2009 ,18200,1000
BK0374,당신의 일곱 개 가방,정미형 지음,알렙,2016 ,17100,2000
BK0375,당신은 모를 것이다,정태규 지음 ; 김덕기 그림,마음서재,2001 ,20100,1000
BK0376,담백한 인생이 행복하다,무무 지음 ; 강은영 옮김,미호,2008 ,13000,1000
BK0377,달콤한 노래,레일라 슬리마니 지음 ; 방미경 옮김,arte,2012 ,24900,1000
BK0378,"다이어트, 진리는 정신개조",김주원 지음 ; 엄윤선 ; 서성호 [공]그림,스노우폭스북스,2008 ,22500,1000
